Region, School/Collage/University, Website, Street, Address, Phone Number
Alabama, ALABAMA AVIATION CENTER, https://www.escc.edu/index.php/about-aac, 1975 AVENUE C, MOBILE | AL 36615, (334)347-2623
Alabama, ALABAMA AVIATION CENTER, https://www.escc.edu/index.php/about-aac, 24 AVIATION WAY, ALBERTVILLE | AL 35950, (334)347-2623
Alaska, AVCP REGIONAL AVIATION MAINTENANCE SCHOOL, http://www.avcpregionalaviationmaintenanceschool.com/, 3321 NORTH APRON ROAD, BETHEL | AK 99559, (907)543-0311
Alaska, UNIVERSITY OF ALASKA ANCHORAGE, https://www.uaa.alaska.edu/, 2811 MERRILL FIELD DR, ANCHORAGE | AK 99501, (907)786-6400
Alaska, UNIVERSITY OF ALASKA FAIRBANKS, https://www.uaf.edu/, 3504 UNIVERSITY AVENUE SOUTH, FAIRBANKS | AK 99709, (907)455-2809
Arizona, CHANDLER-GILBERT COMMUNITY COLLEGE, http://www.cgc.maricopa.edu/Pages/Default.aspx, WILLIAMS GATEWAY AIRPORT, MESA | AZ 85212-0908, (480)732-7016
Arizona, PIMA COUNTY COMMUNITY COLLEGE, https://www.pima.edu/, 7211 SOUTH PARK AVE, TUCSON | AZ 85709, (520)206-5001
Arizona, WESTERN MARICOPA EDUCATION CENTER, http://west-mec.org/, 6997 N. GLEN HARBOR BLVD, GLENDALE | AZ 85307, (623)209-8052
Arkansas, ARKANSAS NORTHEASTERN COLLEGE, http://www.anc.edu/, 2501 SOUTH DIVISION (MAIN CAMPUS), BLYTHEVILLE | AR 72315, (870)763-6222
Arkansas, SOUTHERN ARKANSAS UNIVERSITY, https://web.saumag.edu/, 165 WIGGINS MARDEN ROAD, CAMDEN | AR 71701, (870)574-4541
Arkansas, PULASKI TECHNICAL COLLEGE, http://www.pulaskitech.edu/, 1600 W MARYLAND AVE, NORTH LITTLE ROCK | AR 72120, (501)812-2216
Arkansas, SOUTHERN ARKANSAS UNIVERSITY TECH-TEXARKANA CAMPUS, http://www.sautech.edu/, 60 GLOBE AVENUE, TEXARKANA | AR 71854, (870)574-4541
Arkansas, MID-SOUTH COMMUNITY COLLEGE, http://www.asumidsouth.edu/, NORTH CAMPUS BLDG 5, WEST MEMPHIS | AR 72301, (870)733-6700
California, ORANGE COAST COLLEGE, http://www.orangecoastcollege.edu/Pages/home.aspx, 2701 FAIRVIEW ROAD, COSTA MESA | CA 92626, (714)432-5712
California, WEST LOS ANGELES COLLEGE, http://www.wlac.edu/, 9000 OVERLAND AVENUE, CULVER CITY | CA 90230, (310)287-4325
California, SAN JOAQUIN VALLEY COLLEGE, http://www.sjvc.edu/, 4985 E. ANDERSEN AVE., FRESNO | CA 93727, (559)651-2500
California, GAVILAN COLLEGE, http://www.gavilan.edu/, 5055 SANTA TERESA BLVD., GILROY | CA 95020, (408)852-2861
California, SPARTAN COLLEGE OF AERONAUTICS & TECHNOLOGY, http://www.spartan.edu/, 8911 AVIATION BLVD., INGLEWOOD | CA 90301, (310)642-5440
California, ANTELOPE VALLEY COMMUNITY COLLEGE, https://www.avc.edu/, 4555 WEST AVENUE G, LANCASTER | CA 93536, (661)722-6300
California, SACRAMENTO CITY COLLEGE, http://www.scc.losrios.edu/, 3835 FREEPORT BOULEVARD, MCCLELLAN | CA 95652, (661)722-6300
California, AVIATION INSTITUTE OF MAINTENANCE OAKLAND CAMPUS, http://www.aviationmaintenance.edu/, 9636 EARHART ROAD, OAKLAND | CA 94621, (757)490-3151
California, COLLEGE OF ALAMEDA, http://alameda.peralta.edu/, OAKLAND INTERNATIONAL AIRPORT, OAKLAND | CA 94621, (510)748-2318
California, CHAFFEY COMMUNITY COLLEGE, http://www.chaffey.edu/, 5885 HAVEN AVE, RANCHO CUCAMONGA | CA 91737-3002, (909)652-6868
California, REEDLEY COLLEGE, http://www.reedleycollege.edu/, 994 N REED AVE, REEDLEY | CA 93291, (559)638-3641
California, SPARTAN COLLAGE OF AERONAUTICS AND TECHNOLOGY, http://www.spartan.edu/, 4130 MENNES AVE. BUILDING 36, RIVERSIDE | CA 92509, (559)638-3641
California, SAN BERNARDINO VALLEY COLLEGE, http://www.valleycollege.edu/, 701 S MT VERNON AVE, SAN BERNARDINO | CA 92410, (909)384-8503
California, SAN DIEGO COMMUNITY COLLEGE, http://www.sdccd.edu/, 10440 BLACK MOUNTAIN RD, SAN DIEGO | CA 92126, (619)388-7305
California, CITY COLLEGE OF SAN FRANCISCO, http://www.ccsf.edu/, SAN FRANCISCO INTL ARPT, SAN FRANCISCO | CA 94128-3928, (415)239-3303
California, SOLANO COMM COLLEGE SCHOOL OF AERONAUTICS, http://www.solano.edu/business/aeronautics.php, 301 COUNTY ROAD #251, VACAVILLE | CA 95688, (707)864-7000
California, NORTH VALLEY OCCUPATIONAL CENTER, http://californiaadultschools.org/cas/school-info?task=display&id=244, 16550 SATICOY ST., VAN NUYS | CA 91406, (818)365-9645
California, VICTOR VALLEY COLLEGE SCLA SCHOOL OF AVIATION TECH, http://www.vvc.edu/academic/aviation-tech/, 18368 READINESS ROAD | BUILDING #717B, VICTORVILLE | CA 92394, (760)245-4271
California, MT SAN ANTONIO COLLEGE, http://www.mtsac.edu/, AIRCRAFT MAINT. TECHNOLOGY DEPT., WALNUT | CA 91789, (909)594-5611
Colorado, REDSTONE COLLEGE  DENVER, http://redstone.edu/, 10851 W 120TH AVE, BROOMFIELD | CO 80021, (303)846-1769
Colorado, COLORADO NORTHWESTERN COMMUNITY COLLEGE, http://www.cncc.edu/, 500 KENNEDY DRIVE, RANGELY | CO 81648, (970)675-3305
Connecticut, CONNECTICUT AERO TECH SCHOOL, http://www.cttech.org/cats/, 500 LINDBERGH DRIVE, HARTFORD | CT 06114, (860)649-5396
Connecticut, STRATFORD SCHOOL FOR AVIATION MAINTENANCE TECHNICIANS, http://www.cttech.org/ssamt/, 200 GREAT MEADOW RD, STRATFORD | CT 06615, (203)381-9250
Delaware, DELAWARE TECHNICAL AND COMMUNITY COLLEGE, https://www.dtcc.edu/, 21499 RUDDER LN(AF &MAIN OFFICE), GEORGETOWN | DE 19947, (302)855-1660
District of Columbia, UNIVERSITY OF THE DISTRICT OF COLUMBIA, http://www.udc.edu/wp/test/, WASHINGTON NATL AIRPORT CAMPUS | HANGAR # 2, WASHINGTON | DC 20001, (202)274-6205
Florida, BOYNTON BEACH COMMUNITY HIGH SCHOOL, http://www.edline.net/pages/Boynton_Beach_High_School/, 4975 PARK RIDGE BLVD, BOYNTON BEACH | FL 33426, (561)731-2801
Florida, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 2725 U.S. 17/92, CASSELBERRY | FL 32707, (757)490-3157
Florida, NATIONAL AVIATION ACADEMY OF MISSISSIPPI, http://www.naa.edu/, 6225 ULMERTON ROAD, CLEARWATER | FL 33760, (727)531-2080
Florida, EMBRY RIDDLE AERONAUTICAL UNIVERSITY, http://www.erau.edu/, BLDG 27 | AMS DEPT., DAYTONA BEACH | FL 32114-3900, (386)226-6292
Florida, ARI BEN AVIATOR INC, https://aviator.edu/, 4220 PAN AM BOULEVARD, FORT PIERCE | FL 34946, (772)672-8220
Florida, FLORIDA STATE COLLEGE AT JACKSONVILLE AVIATION CENTER, http://www.fscj.edu/campus-life/campuses-centers/cecil-center/aviation-programs/, 13510 AEROSPACE WAY, JACKSONVILLE | FL 32221, (904)317-3805
Florida, CENTRAL FLORIDA AEROSPACE ACADEMY, http://www.polkacademies.com/cfaa/, 4141 MEDULLA ROAD, LAKELAND | FL 33811, (863)499-2700
Florida, EASTERN FLORIDA STATE COLLEGE, http://www.easternflorida.edu/, 640 & 650 HARRY SUTTON ROAD, MELBOURNE | FL 32901, (321)433-7509
Florida, GEORGE T BAKER AVIATION TECHNICAL COLLEGE, http://bakeraviation.dadeschools.net/default.asp, 3275 NW 42 AVE, MIAMI | FL 33142, (305)871-3143
Florida, LORENZO WALKER TECHNICAL COLLEGE, http://www.lwtc.edu/, 3702 ESTEY AVENUE, NAPLES | FL 34104, (239)377-0900
Florida, HANEY TECHNICAL CENTER HIGH SCHOOL, http://www.bayschools.com/htc/Home.aspx, 3016 HIGHWAY 77, PANAMA CITY | FL 32405, (850)767-5520
Florida, BROWARD COLLEGE, www.broward.edu/, BUILDING 99, PEMBROKE PINES | FL 33024, (954)201-8085
Florida, GEORGE STONE TECHNICAL CENTER, http://www.georgestonecenter.com/, 2400 LONGLEAF DRIVE, PENSACOLA | FL 32526, (850)941-6200
Florida, LIVELY TECHNICAL CENTER, http://www.leonschools.net/livelytech, 500 N. APPLEYARD DRIVE, TALLAHASSEE | FL 32304, (850)487-7499
Georgia, SOUTH GEORGIA TECHNICAL COLLEGE, http://www.southgatech.edu/, 900 SOUTH GEORGIA TECHNICAL PKWY, AMERICUS | GA 31709, (229)931-2150
Georgia, ATLANTA TECHNICAL COLLEGE, http://www.atlantatech.edu/, 1560 METROPOLITAN PARKWAY SW, ATLANTA | GA 30310, (404)225-4545
Georgia, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 2025 SATELLITE POINTE, DULUTH | GA 30097, (678)377-5600
Georgia, MIDDLE GEORGIA STATE UNIVERSITY, http://www.mga.edu/, HEART OF GEORGIA REGIONAL AIRPORT, EASTMAN | GA 31023, (478)934-3011
Georgia, GEORGIA NORTHWESTERN TECHNICAL COLLEGE, http://www.gntc.edu/, 127 CAPITOLINE DRIVE NE, ROME | GA 30165, (706)295-6927
Georgia, SAVANNAH TECHNICAL COLLEGE, http://www.savannahtech.edu/, 170 CROSSROADS PARKWAY, SAVANNAH | GA 31407, (912)443-3026
Georgia, AUGUSTA TECHNICAL COLLEGE, http://www.augustatech.edu/, 476 JOHN T. LANE ROAD NW, THOMSON | GA 30824, (706)597-8265
Georgia, CENTRAL GEORGIA TECHNICAL COLLEGE, http://www.centralgatech.edu/, 80 COHEN WALKER DRIVE, WARNER ROBINS | GA 31088, (478)988-6833
Hawaii, HONOLULU COMMUNITY COLLEGE  DEPT OF AERONAUTICS, http://www.honolulu.hawaii.edu/aero, 140 IAKO PLACE, HONOLULU | HI 96819, (808)831-6845
Idaho, NORTH IDAHO COLLEGE AEROSPACE CENTER OF EXCELLENCE, http://www.nic.edu/websites/default.aspx?dpt=165, 1845 DAKOTA AVENUE, HAYDEN | ID 83835, (208)769-3303
Idaho, IDAHO STATE UNIVERSITY, http://www.isu.edu/, 1455 FLIGHTLINE  AIRPORT, POCATELLO | ID 83204-7461, (208)282-2677
Illinois, SOUTHERN ILLINOIS UNIV AVIATION TECH, http://aviation.siu.edu/technologies/, 635 FLIGHTLINE RD MC6816, CARBONDALE | IL 62901-6816, (618)536-3371
Illinois, SOUTHWESTERN ILLINOIS COLLEGE, http://www.swic.edu/, 4950 MARYVILLE ROAD, GRANITE CITY | IL 62040, (618)227-5247
Illinois, ROCK VALLEY COLLEGE AVIATION TECH, https://www.rockvalleycollege.edu/Courses/Programs/Aviation/, 6045 CESSNA DRIVE, ROCKFORD | IL 61109, (815)921-3014
Illinois, LEWIS UNIVERSITY, http://www.lewisu.edu/, ONE UNIVERSITY PARKWAY, ROMEOVILLE | IL 60446-2200, (815)838-0500
Illinois, LINCOLN LAND COMMUNITY COLLEGE, http://www.llcc.edu/, 815 SOUTH AIRPORT ROAD, SPRINGFIELD | IL 62707, (217)786-2406
Indiana, IVY TECH COMMUNITY COLLEGE NORTHEAST, https://www.ivytech.edu/northeast/, SMITH FIELD AIRPORT, FORT WAYNE | IN 46825, (800)859-4882
Indiana, VINCENNES UNIVERSITY, http://bak16.vinu.edu/, 2175 S. HOFFMAN ROAD, INDIANAPOLIS | IN 46241, (812)888-4208
Indiana, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 7251 W. MCCARTY ST., INDIANAPOLIS | IN 46241, (757)456-5065
Indiana, PURDUE UNIV DEPT OF AVIATION TECHNOLOGY, https://polytechnic.purdue.edu/schools/aviation-and-transportation-technology, NISWONGER AVIATION TECHNOLOGY BUILDING, WEST LAFAYETTE | IN 47907-2015, (765)496-3136
Iowa, IOWA WESTERN COMMUNITY COLLEGE, http://www.iwcc.edu/, 21915 CESSNA AVENUE, COUNCIL BLUFFS | IA 51501, (712)325-3200
Iowa, DES MOINES PUBLIC SCHOOLS AVIATION TECHNOLOGIES, http://centralcampus.dmschools.org/transportation/aviation/, 205 COUNTY LINE ROAD, DES MOINES | IA 50320, (515)242-7846
Iowa, INDIAN HILLS COMMUNITY COLLEGE, http://www.indianhills.edu/, 14383 COLLEGE AVENUE, OTTUMWA | IA 52501, (641)683-5185
Kansas, KANSAS STATE UNIVERSITY  SALINA, https://polytechnic.k-state.edu/, AERO-CENTER, SALINA | KS 67401-8196, (785)826-2601
Kansas, WICHITA AREA TECHNICAL COLLEGE, http://watc.edu/, 4004 N WEBB ROAD | BUILDING 300, WICHITA | KS 67226, (316)677-1852
Kentucky, JEFFERSON COMMUNITY TECHNICAL COLLEGE, http://www.jefferson.kctcs.edu/, 109 EAST BROADWAY, LOUISVILLE | KY 40202, (502)213-2621
Kentucky, SOMERSET COMMUNITY COLLEGE, http://www.somerset.kctcs.edu/, 808 MONTICELLO STREET, SOMERSET | KY 42501, (606)679-8501
Louisiana, BATON ROUGE COMMUNITY COLLEGE, http://www.mybrcc.edu/, DEPT OF AVIATION TECHNOLOGY, CENTRAL | LA 70818, (225)216-8162
Louisiana, SOUTH LOUISIANA COMMUNITY COLLEGE, http://solacc.edu/, 118 SHEPARD DRIVE, LAFAYETTE | LA 70508, (337)521-8941
Louisiana, SOWELA TECHNICAL COMMUNITY COLLEGE, https://www.sowela.edu/, 3820 SENATOR J. BENNETT JOHNSON AVE, LAKE CHARLES | LA 70615, (337)421-6595
Louisiana, SOUTHERN UNIVERSITY, http://www.subr.edu/, 3050 MARTIN LUTHER KING | JR. DRIVE, SHREVEPORT | LA 71107, (318)674-3382
Maryland, PITTSBURGH INSTITUTE OF AERONAUTICS, http://www.pia.edu/, 14516 PENNSYLVANIA AVE, HAGERSTOWN | MD 21742, (412)346-2100
Massachusets, NATIONAL AVIATION ACADEMY OF NEW ENGLAND, http://www.naa.edu/, 150 HANSCOM DRIVE, BEDFORD | MA 01730, (727)531-2080
Michigan, WESTERN MICHIGAN UNIVERSITY COLLEGE OF AVIATION, http://wmich.edu/aviation/, 237 NORTH HELMER ROAD, BATTLE CREEK | MI 49037, (269)964-4544
Michigan, ANDREWS UNIVERSITY, https://www.andrews.edu/, ANDREWS AIRPORT, BERRIEN SPRINGS | MI 49104, (269)471-3547
Michigan, MIAT COLLEGE OF TECHNOLOGY, http://www.miat.edu/, 2955 S. HAGGERTY RD., CANTON | MI 48188, (734)423-2100
Michigan, SCHOOL OF MISSIONARY AVIATION TECHNOLOGY, http://www.smat.edu/, 84 E. SPRAGUE RD., IONIA | MI 48846, (616)527-4160
Michigan, NORTHERN MICHIGAN UNIVERSITY SCHOOL OF TECHNOLOGY, https://www.nmu.edu/technology, 1401 PRESQUE ISLE AVE, MARQUETTE | MI 49855, (906)227-2190
Michigan, LANSING COMMUNITY COLLEGE, http://www.lcc.edu/, http://www.lcc.edu/, MASON | MI 48854, (517)483-1345
Minnesota, LAKE SUPERIOR COLLEGE, http://www.lsc.edu/, 4960 AIRPORT ROAD, DULUTH | MN 55811, (218)733-7737
Minnesota, MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE, http://www.minneapolis.edu/index, 7500 AIRLINE DRIVE | BLDG C, MINNEAPOLIS | MN 55450, (612)659-6509
Minnesota, NORTHLAND COMMUNITY AND TECHNICAL COLLEGE, http://www.northlandcollege.edu/, 13892 AIRPORT DRIVE, THIEF RIVER FALLS | MN 56701, (218)683-8802
Mississippi, HINDS COMMUNITY COLLEGE, http://www.hindscc.edu/, 130 AIRPORT ROAD, BOLTON | MS 39041, (601)857-3822
Mississippi, NORTHWEST MISSISSIPPI COMMUNITY COLLEGE, http://www.northwestms.edu/, 8750 DEERFIELD DR, OLIVE BRANCH | MS 38654, (662)280-6122
Missouri, AVIATION INSTITUTE OF MAINTENANCE, http://www.aviationmaintenance.edu/, 4100 RAYTOWN ROAD, KANSAS CITY | MO 64129, (757)490-3151
Missouri, STATE TECHNICAL COLLEGE OF MISSOURI, http://www.statetechmo.edu/, 1 TECHNOLOGY DRIVE, LINN | MO 65051, (573)897-5141
Missouri, GATEWAY INSTITUTE OF TECHNOLOGY, http://www.slps.org/gatewaySTEM, 5101 MCREE AVE., ST.LOUIS | MO 63110, (314)776-3300
